id,sentence,difficulty,cleaned_text
2307,"En attribuant une valeur de flux potentiel aux liens du graphe, la segmentation fondée sur le critère de modularité aboutit à un découpage considéré comme optimal du point de vue de la dynamique démographique interne à chaque compartiment.",C1,attribuant valeur flux potentiel liens graphe segmentation fonde critre modularit aboutit dcoupage considr comme optimal point vue dynamique dmographique interne chaque compartiment
2308,"Le modele theorique mis en oeuvre ici s'appuie sur l'idee d'un dispositif representatif qui jouerait sur trois niveaux : scenique, scenographique et enonciatif.",C2,modele theorique mis oeuvre ici sappuie lidee dun dispositif representatif jouerait trois niveaux scenique scenographique enonciatif
2309,"C'est là, au bout de la rue.",A1,cest bout rue
2310,"Je suis bilingue anglais parce qu'en rentrant à la maison après l'école, au lieu de faire mes devoirs, je regardais des séries américaines en version originale",C2,bilingue anglais parce quen rentrant maison aprs lcole lieu faire devoirs regardais sries amricaines version originale
2311,"Entre 1860 et 1880, les bisons ont été éliminés par les Blancs pour nous enlever ce qui faisait notre vie : le coeur de notre culture, de notre spiritualité, mais aussi notre principale ressource et source d'alimentation.",C1,entre bisons limins blancs enlever faisait vie coeur culture spiritualit aussi principale ressource source dalimentation
2312,"Un sondage auprès des Français, commandé à l'occasion de la Semaine du son qui commence lundi 21 janvier, montre l'influence majeure du bruit sur la vie quotidienne.",B2,sondage auprs franais command loccasion semaine commence lundi janvier montre linfluence majeure bruit vie quotidienne
2313,"Malheureusement, seuls les milieux favorisés et plus éduqués sont capables de renverser cette tendance en prenant en compte cet aspect du problème dans leur vie quotidienne.",C1,malheureusement seuls milieux favoriss plus duqus capables renverser cette tendance prenant compte cet aspect problme vie quotidienne
2314,Presque tous les jeunes déclarent aimer leur collège ou leur lycée.,B2,presque tous jeunes dclarent aimer collge lyce
2315,Le bureau est en face de la machine à café.,A2,bureau face machine caf
2316,Vous souffrîtes du froid intense de l'hiver qui s'engoufrait dans les avenues bondées de passants empressés,C2,souffrtes froid intense lhiver sengoufrait avenues bondes passants empresss
2317,Cette loi avait pour objectif de permettre aux croyants et non-croyants de vivre ensemble.,B2,cette loi objectif permettre croyants noncroyants vivre ensemble
2318,Mais cette initiative suscite par ailleurs beaucoup de réticences.,C2,cette initiative suscite ailleurs beaucoup rticences
2319,"Cependant, un recours en urgence a suspendu la décision, imposant le statu quo le temps qu'une cour d'appel examine le dossier, et ce afin d'éviter un ""effet yo-yo"".",C1,cependant recours urgence a suspendu dcision imposant statu quo temps quune cour dappel examine dossier afin dviter effet yoyo
2320,"Excusez-moi, serait-il possible de changer de table ?",A2,excusezmoi seraitil possible changer table
2321,"Ce n'est une surprise pour personne: avec le semi-confinement et le télétravail, les conflits entre voisins ont augmenté.",B1,nest surprise personne semiconfinement tltravail conflits entre voisins augment
2322,"Écris-moi pour me raconter ce que tu fais, comment sont tes nouveaux collègues et comment ça va avec ton chef.",A2,crismoi raconter fais comment nouveaux collgues comment a va chef
2323,Je sors avec des amis.,A1,sors amis
2324,La gestion de la complexité sera bien le défi majeur du XXIe siècle.,B2,gestion complexit bien dfi majeur xxie sicle
2325,Marie-Hélène Lahaye a fait et fait beaucoup dans la lutte contre les violences obstétricales et gynécologiques (VOG) mais utilise cette affaire de façon erronée,C1,mariehlne lahaye a fait fait beaucoup lutte contre violences obsttricales gyncologiques vog utilise cette affaire faon errone
2326,"Machine intelligente (capable d'apprentissage), utilisée déjà dans le contexte des loisirs, de l'éducation, de la médecine, de la police, de l'armée, de la conquête spatiale, etc., le robot est voué à exécuter toutes les tâches pour lesquelles on voudra, ou pourra, le programmer.",C2,machine intelligente capable dapprentissage utilise dj contexte loisirs lducation mdecine police larme conqute spatiale etc robot vou excuter toutes tches lesquelles voudra pourra programmer
2327,Mais très vite l'usage de la moto se répandit en commençant par être un outil de travail des professions libérales.,C1,trs vite lusage moto rpandit commenant tre outil travail professions librales
2328,"À l'aube de notre modernité, Mary Shelley questionnait la nature humaine et non la machine: le face-à-face entre Frankenstein et sa créature autonome interroge la possibilité d'un homme sans âme.",C1,laube modernit mary shelley questionnait nature humaine non machine faceface entre frankenstein crature autonome interroge possibilit dun homme sans
2329,"Dans la forêt aux éclats dispersés de soleil, immobile forêt d'antique effroi, il allait le long des enchevêtrements, beau et non moins noble que son ancêtre Aaron, frère de Moïse, allait, soudain riant et le plus fou des fils de l'homme, riant d'insigne jeunesse et amour, soudain arrachant une fleur et la mordant, soudain dansant, haut seigneur aux longues bottes, dansant et riant au soleil aveuglant entre les branches, avec grâce dansant, suivi des deux raisonnables bêtes, d'amour et de victoire dansant tandis que ses sujets et créatures de la forêt s'affairaient irresponsablement, mignons lézards vivant leur vie sous les ombrelles feuilletées des grands champignons, mouches dorées traçant des figures géométriques, araignées surgies des touffes de bruyère rose et surveillant des charançons aux trompes préhistoriques, fourmis se tâtant réciproquement et échangeant des signes de passe puis retournant à leurs solitaires activités, pics ambuants auscultant, crapauds esseulés clamant leur nostalgie, timides grillons tintant, criantes chouettes étrangement réveillées.",C2,fort clats disperss soleil immobile fort dantique effroi allait long enchevtrements beau non moins noble anctre aaron frre mose allait soudain riant plus fou fils lhomme riant dinsigne jeunesse amour soudain arrachant fleur mordant soudain dansant haut seigneur longues bottes dansant riant soleil aveuglant entre branches grce dansant suivi deux raisonnables btes damour victoire dansant tandis sujets cratures fort saffairaient irresponsablement mignons lzards vivant vie sous ombrelles feuilletes grands champignons mouches dores traant figures gomtriques araignes surgies touffes bruyre rose surveillant charanons trompes prhistoriques fourmis ttant rciproquement changeant signes passe puis retournant leurs solitaires activits pics ambuants auscultant crapauds esseuls clamant nostalgie timides grillons tintant criantes chouettes trangement rveilles
2330,J'ai perdu ma montre.,A1,jai perdu montre
2331,"L'objectif étant de susciter un changement d'attitude et un engagement à long terme, et non d'obtenir une quelconque compensation financière, assure-t-on.",C1,lobjectif tant susciter changement dattitude engagement long terme non dobtenir quelconque compensation financire assureton
2332,Le soir vous pouvez faire un tour en bateau jusqu'à la Tour Eiffel.,A1,soir pouvez faire tour bateau jusqu tour eiffel
2333,"La salle internet est la deuxième salle après les toilettes, à gauche.",A1,salle internet deuxime salle aprs toilettes gauche
2334,"En janvier dernier, j'ai voulu laisser un message sur le répondeur de mon frère.",B1,janvier dernier jai voulu laisser message rpondeur frre
2335,"Viennent ensuite les personnes âgées, puis les personnes malades ou handicapées, qui font l'objet d'une sollicitude en hausse.",C1,viennent ensuite personnes ges puis personnes malades handicapes font lobjet dune sollicitude hausse
2336,un berger est une personne chargée de guider et de prendre soin des troupeaux de moutons ou plus généralement de bétail.,B1,berger personne charge guider prendre soin troupeaux moutons plus gnralement btail
2337,"Bonjour, je voudrais deux kilos de fraises et un kilo de haricots.",A1,bonjour voudrais deux kilos fraises kilo haricots
2338,"Des sénateurs républicains mais aussi un démocrate s'étaient ouvertement déclarés contre son arrivée au poste de directrice du Bureau de la gestion et du budget à la Maison Blanche (OMB), un service très puissant, notamment chargé de développer le budget voulu par le président.",B2,snateurs rpublicains aussi dmocrate staient ouvertement dclars contre arrive poste directrice bureau gestion budget maison blanche omb service trs puissant notamment charg dvelopper budget voulu prsident
2339,Il s'agit vraiment d'introduire l'informatique dans la culture générale.,C2,sagit vraiment dintroduire linformatique culture gnrale
2340,"En kiosque depuis le 1er mars, le magazine Changer tout résume l'ambition de leur reconversion.",C1,kiosque depuis er mars magazine changer tout rsume lambition reconversion
2341,Son père se maria quatre fois et lui donna dix frères et deux soeurs légitimes venus après Léonard.,C1,pre maria quatre fois donna dix frres deux soeurs lgitimes venus aprs lonard
2342,"Car, en fait, les Français n'ont pas franchement le beau rôle : désagréables, disant non à tout, préférant fumer plutôt que de manger, démarrant leur journée de travail à 10 h 30, ils sont aussi présentés comme étant les rois de l'infidélité, une pratique acceptée de tous, y compris des compagnes ou compagnons trompés.",B2,car fait franais nont franchement beau rle dsagrables disant non tout prfrant fumer plutt manger dmarrant journe travail h aussi prsents comme tant rois linfidlit pratique accepte tous compris compagnes compagnons tromps
2343,"Au fond, une grande écharpe en dentelle de Bruges, d'un prix considérable, élargissait un voile d'autel, deux ailes déployées, d'une blancheur rousse ; des volants de point d'alençon se trouvaient jetés en guirlandes ; puis, c'était, à pleines mains, un ruissellement de toutes les dentelles, les marines, les valenciennes, les applications de Bruxelles, les points de Venise, comme une tombée de neige.",C2,fond grande charpe dentelle bruges dun prix considrable largissait voile dautel deux ailes dployes dune blancheur rousse volants point dalenon trouvaient jets guirlandes puis ctait pleines mains ruissellement toutes dentelles marines valenciennes applications bruxelles points venise comme tombe neige
2344,"Elle tournait tant autour du pot et plus encore, que le marquis perdit patience",C2,tournait tant autour pot plus encore marquis perdit patience
2345,Il est gros.,A1,gros
2346,"Après une marche sur les Champs-Élysées, je suis au pied de la Tour Eiffel",B1,aprs marche champslyses pied tour eiffel
2347,"Plus tôt, ils avaient été remis à un procureur, escortés de 15 officiers de police japonais venus spécialement aux États-Unis samedi pour l'occasion.",C1,plus tt remis procureur escorts officiers police japonais venus spcialement tatsunis samedi loccasion
2348,Ils sont au lycée français.,A1,lyce franais
2349,"Comme avec Les sorcières sont NRV (Ecole des loisirs), qui n'ont pas pris une ride depuis 1988, et où articles, adverbes et pronoms entrent dans une danse endiablée, ou encore avec LFHE la sorcière (Ecole des loisirs), où cette fois ce sont les adjectifs qui sont prestidigitisés",C2,comme sorcires nrv ecole loisirs nont pris ride depuis o articles adverbes pronoms entrent danse endiable encore lfhe sorcire ecole loisirs o cette fois adjectifs prestidigitiss
2350,"Il vient de demander la main de Bella et l'avenir semble briller, mais. Quand l'artiste donne le dernier coup de pinceau à sa toile, les nazis ont déjà commencé à expulser les juifs, contraints de quitter leurs maisons, emportant ce qu'ils peuvent.",B2,vient demander main bella lavenir semble briller quand lartiste donne dernier coup pinceau toile nazis dj commenc expulser juifs contraints quitter leurs maisons emportant quils peuvent
2351,"Je réponds toujours que ça n'a pas été difficile physiquement, mais que j'ai dû travailler sur l'image que donnait ce comique.",B1,rponds toujours a na difficile physiquement jai travailler limage donnait comique
2352,"Vous êtes embarrassée, presque offensée de mon trouble.",C2,embarrasse presque offense trouble
2353,Il a déjà inventé une machine à enlever la peau des bananes !,A2,a dj invent machine enlever peau bananes
2354,"Oh, ça fait du bien de changer d'air quelques jours.",B1,oh a fait bien changer dair quelques jours
2355,"Après le cours, vous boirez un verre en notre compagnie, vous rirez aux éclats et aurez du bon temps avec vos amis.",B1,aprs cours boirez verre compagnie rirez clats bon temps amis
2356,J'aurais voulu pouvoir quitter le bureau à 13h.,B2,jaurais voulu pouvoir quitter bureau h
2357,Je mange de l'herbe,A1,mange lherbe
2358,"Il faut du temps et du courage pour soigner toute cette ménagerie En plus des animaux, il faut aussi s'occuper du potager de mon papy",A2,faut temps courage soigner toute cette mnagerie plus animaux faut aussi soccuper potager papy
2359,"Nous devons apprendre une multitude de langages : scientifiques tels le numérique, les langues étrangères, les langages des sons et des images, le langage du corps.",B2,devons apprendre multitude langages scientifiques tels numrique langues trangres langages sons images langage corps
2360,"C'est la commémoration, c'est-à-dire la fête anniversaire, de la fin de la Seconde Guerre mondiale",B1,cest commemoration cestadire fete anniversaire fin seconde guerre mondiale
2361,"Des variations significatives de cet indice sur une période inférieure à plusieurs décennies sont peu probables en l'absence de réformes territoriales conséquentes, ce qui a été rarement le cas en Suisse après 2000 en comparaison internationale.",C2,variations significatives cet indice priode infrieure plusieurs dcennies peu probables labsence rformes territoriales consquentes a rarement cas suisse aprs comparaison internationale
2362,Statistiquement le risque de transmission de maladies infectieuses est nettement plus élevé dans certaines situations.,C1,statistiquement risque transmission maladies infectieuses nettement plus lev certaines situations
2363,J'ai passé une très bonne journée de vacances.,A1,jai pass trs bonne journe vacances
2364,Quelle est ta chanson préférée dans le spectacle ?,A1,quelle chanson prfre spectacle
2365,"Si on cherche des côtés positifs à cette bluette, quelques répliques sont bien senties et des scènes comiques réussies, notamment quand il est question des subtilités de notre langue et des faux amis, ces mots qui se ressemblent entre anglais et français avec des significations différentes.",B2,si cherche cts positifs cette bluette quelques rpliques bien senties scnes comiques russies notamment quand question subtilits langue faux amis mots ressemblent entre anglais franais significations diffrentes
2366,La traçabilité permet de reconstituer une séquence d'événements à partir des données numériques laissées dans les systèmes lors de leurs réalisations.,C1,traabilit permet reconstituer squence dvnements partir donnes numriques laisses systmes lors leurs ralisations
2367,Anna s'amusait avec son frère quand il s'est cassé le bras gauche.,A2,anna samusait frre quand sest cass bras gauche
2368,"Oui, je parle un peu.",A1,oui parle peu
2369,Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.,A2,a deux possibilits accent permettra dtre connu trs bien
2370,"Après 13 ans aussi, pour des raisons sociales, l'enfant commence à éprouver des contraintes caractérielles, des réticences dues à la volonté de défendre son image, à la peur du ridicule, toutes choses qui sont des attitudes d'adulte",C2,aprs ans aussi raisons sociales lenfant commence prouver contraintes caractrielles rticences dues volont dfendre image peur ridicule toutes choses attitudes dadulte
2371,"Grande amoureuse des couleurs et de la cuisine italienne, Irène Jacob a trouvé dans la culture slave la force de l'expression des sentiments jusqu'au tragique.",C1,grande amoureuse couleurs cuisine italienne irne jacob a trouv culture slave force lexpression sentiments jusquau tragique
2372,Je fais du sport tous les jours.,A2,fais sport tous jours
2373,"Non, c'est en fonction de la facilité de la chanson.",A2,non cest fonction facilit chanson
2374,La Chine et l'Inde connaissent depuis dix ans une augmentation du taux de surpoids de 5 %.,C1,chine linde connaissent depuis dix ans augmentation taux surpoids
2375,"Bonjour, ça va ?",A1,bonjour a va
2376,Donne-moi de tes nouvelles plus souvent !,B1,donnemoi nouvelles plus souvent
2377,"Oui, des feux de forêt qui frappent le sud-est du pays depuis le mois de septembre et qui ont fait une 24e victime ce week-end",B1,oui feux fort frappent sudest pays depuis mois septembre fait e victime weekend
2378,"Mets ça sur ton pied, ça va soulager la douleur.",A2,mets a pied a va soulager douleur
2379,"Voie 3, le TGV à destination de Marseille Saint Charles va partir",B2,voie tgv destination marseille saint charles va partir
2380,La tour Eiffel est le symbole de la ville de Paris,B1,tour eiffel symbole ville paris
2381,"Avec l'argent, notre professeur va acheter de la peinture et des crayons pour le cours de dessin.",A2,largent professeur va acheter peinture crayons cours dessin
2382,"Mais, poursuit Bacon, la science se doit de surmonter ces craintes et ces scrupules: elle doit triompher du sentiment d'impuissance qui la paralyse.",C2,poursuit bacon science doit surmonter craintes scrupules doit triompher sentiment dimpuissance paralyse
2383,Quel est votre avis ?,A2,quel avis
2384,Ils s'étaient imaginé pouvoir surmonter le deuil en se lançant dans les travaux de rénovation.,B2,staient imagin pouvoir surmonter deuil lanant travaux rnovation
2385,"La comtesse se mit à revoir, avec Fabrice, tous ces lieux enchanteurs voisins de Grianta, et si célébrés par les voyageurs : la villa Melzi de l'autre côté du lac, vis-à-vis le château, et qui lui sert de point de vue ; au-dessus le bois sacré des Sfondrata, et le hardi promontoire qui sépare les deux branches du lac, celle de Côme, si voluptueuse, et celle qui court vers Lecco, pleine de sévérité : aspects sublimes et gracieux, que le site le plus renommé du monde, la baie de Naples, égale, mais ne surpasse point.",C1,comtesse mit revoir fabrice tous lieux enchanteurs voisins grianta si clbrs voyageurs villa melzi lautre ct lac visvis chteau sert point vue audessus bois sacr sfondrata hardi promontoire spare deux branches lac celle cme si voluptueuse celle court vers lecco pleine svrit aspects sublimes gracieux site plus renomm monde baie naples gale surpasse point
2386,"Ici, dans le palais, l'air était lourd et étouffant, mais, dans la forêt, le vent soufflait librement et le soleil, de ses caressants doigts d'or, écartait les feuilles frémissantes.",C1,ici palais lair tait lourd touffant fort vent soufflait librement soleil caressants doigts dor cartait feuilles frmissantes
2387,Dès qu'elle fut entrée elle fut dérangée par la cigarette.,C2,ds quelle entre drange cigarette
2388,Par ailleurs les conséquences structurelles d'une telle reconnaissance pour une organisation ne sont pas négligeables,C2,ailleurs consquences structurelles dune telle reconnaissance organisation ngligeables
2389,"Cela étant bien compris, je crois qu'on se tiendra en repos."" Comme Pascal, Edgar Morin cherche à désarçonner le rationaliste qui, au plein de la crise actuelle de notre rapport à la nature, ne doute ni de ses démarches ni de sa volonté d'imposer son ordre.",C2,cela tant bien compris crois quon tiendra repos comme pascal edgar morin cherche dsaronner rationaliste plein crise actuelle rapport nature doute ni dmarches ni volont dimposer ordre
2390,"En haut des tours, il n'est pas conseillé de s'attarder trop longtemps devant le panorama parisien",C2,haut tours nest conseill sattarder trop longtemps devant panorama parisien
2391,La discipline est encore considérée comme réservée aux hommes.,B2,discipline encore considre comme rserve hommes
2392,Je propose que tout le monde apporte quelque chose à manger.,A1,propose tout monde apporte quelque chose manger
2393,Vous deviez rendre des comptes à la justice pour vos crimes.,B1,deviez rendre comptes justice crimes
2394,Mais pas de maison de poupées,A2,maison poupes
2395,J'ai peur du noir.,A1,jai peur noir
2396,"Nous nous assîmes sur un banc recouvert de verdure, face aux cieux étincellant et nous vîmes l'aurore s'éveiller.",C2,assmes banc recouvert verdure face cieux tincellant vmes laurore sveiller
2397,"Après ça, nous étions un peu fatigués",A2,aprs a tions peu fatigus
2398,"Il s'établit donc, dans le petit public qui m'environnait, une inquiétude vague sur mon caractère.",C2,stablit donc petit public menvironnait inquitude vague caractre
2399,"""Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",B1,dmon partit bien vite prcipita trou o hlas retrouva mchante femme
2400,"Pourtant, les conséquences de la mise en place de telles pratiques de gestion permettent de s'interroger sur les raisons véritables qui poussent une entreprise à évaluer ses connaissances",C2,pourtant consquences mise place telles pratiques gestion permettent sinterroger raisons vritables poussent entreprise valuer connaissances
2401,"Ainsi l'abbé Blanès n'avait pas communiqué sa science assez difficile à Fabrice ; mais, à son insu, il lui avait inoculé une confiance illimitée dans les signes qui peuvent prédire l'avenir.",C1,ainsi labb blans navait communiqu science assez difficile fabrice insu inocul confiance illimite signes peuvent prdire lavenir
2402,"La 9e conférence des Nations unies sur le climat s'est achevée hier, dans une ambiance mi-figue, mi-raisin.",C1,e confrence nations unies climat sest acheve hier ambiance mifigue miraisin
2403,"OK, alors on se tient au courant pour samedi prochain ?",A2,ok alors tient courant samedi prochain
2404,"Le Falcon 1 est un lanceur théoriquement réutilisable qui peut placer, selon son constructeur, 670 kg en orbite basse.",C1,falcon lanceur thoriquement rutilisable peut placer selon constructeur kg orbite basse
2405,Le gâteau est dans le frigo.,A2,gteau frigo
2406,"Née de la contraction anglaise de ""no-mobile phobia"", la nomophobie est, en simplifiant, une crainte obsédante et continuelle, de ne pas avoir son smartphone en état de marche avec soi.",B2,contraction anglaise nomobile phobia nomophobie simplifiant crainte obsdante continuelle avoir smartphone tat marche soi
2407,"Des grosses parts pour les guerriers et pour Zahor, des petites parts pour les femmes et les enfants et enfin les os pour les chiens.",A2,grosses parts guerriers zahor petites parts femmes enfants enfin os chiens
2408,Le chien de ma voisine fais beaucoup de bruit.,A1,chien voisine fais beaucoup bruit
2409,"La réussite professionnelle fait oublier l'âge, l'échec le rappelle, reconnaît-il.",C1,russite professionnelle fait oublier lge lchec rappelle reconnatil
2410,"Des délires, il en a, l'artiste qui débarque d'Evry en Île-de-France avec un baccalauréat littéraire en poche",B1,dlires a lartiste dbarque devry ledefrance baccalaurat littraire poche
2411,"Actuellement, les moyens alloués pour le suivi des populations sont en diminution, et l'observation systématique de toutes les communes (ou de toutes les zones) est remise en question ; dans ce contexte, il semble intéressant de procéder au suivi des populations à partir d'un découpage spatial spécifiquement dédié, plutôt que d'utiliser le maillage communal comme grille d'observation.",C1,actuellement moyens allous suivi populations diminution lobservation systmatique toutes communes toutes zones remise question contexte semble intressant procder suivi populations partir dun dcoupage spatial spcifiquement ddi plutt dutiliser maillage communal comme grille dobservation
2412,Je compte bien arriver dès huit heures.,B1,compte bien arriver ds huit heures
2413,"Il est un autre horizon qu'annoncent les biologistes : la sixième extinction des espèces, qui n'épargnera que les animaux d'élevage, propres à l'exploitation directe.",C1,autre horizon quannoncent biologistes sixime extinction espces npargnera animaux dlevage propres lexploitation directe
2414,Il est peu probable que tu doives souvent arroser les plantes.,B2,peu probable doives souvent arroser plantes
2415,"Ce métier ne convient que pour un début de carrière, dans la vente, par exemple.",B1,mtier convient dbut carrire vente exemple
2416,Ils chevauchent un coq à taille humaine.,B2,chevauchent coq taille humaine
2417,Ils faisaient une grande fête à chaque année.,B1,faisaient grande fte chaque anne
2418,"Je ne sais quel instinct m'avertissait d'ailleurs de me défier de ces axiomes généraux si exempts de toute restriction, si purs de toute nuance.",C2,sais quel instinct mavertissait dailleurs dfier axiomes gnraux si exempts toute restriction si purs toute nuance
2419,Je t'appelerais dès que je reçois les documents,B1,tappelerais ds reois documents
2420,C'est le plat préféré de Manon,A2,cest plat prefere manon
2421,"Elle donne sur le jardin, vous y serez très bien.",A1,donne jardin trs bien
2422,La montée des valeurs humanistes est une réalité qui se poursuit et s'affirme.,B2,monte valeurs humanistes ralit poursuit saffirme
2423,Nous vous remercions de votre compréhension et nous vous souhaitons une excellente journée.,A2,remercions comprhension souhaitons excellente journe
2424,"Elle se déroule dans de nombreux pays, mais à des dates et avec des traditions différentes.",A2,droule nombreux pays dates traditions diffrentes
2425,"Je suis allé voir où elle habite, sans rien dire à personne.",A2,all voir o habite sans rien dire personne
2426,"Finalement, il est aussi question de scepticisme, réalisation du stoïcisme, et décriant l'être autre comme subjectif et remettant donc en cause son aspect véridique et absolu",C2,finalement aussi question scepticisme ralisation stocisme dcriant ltre autre comme subjectif remettant donc cause aspect vridique absolu
2427,"Pour moi, c'est pas du tout frustrant, je suis très content de partir en France et ça faisait très longtemps que j'avais envie de venir en Bretagne, donc pour moi, c'était une très bonne opportunité.",B1,cest tout frustrant trs content partir france a faisait trs longtemps javais envie venir bretagne donc ctait trs bonne opportunit
2428,Je vais donner des numéros !,A1,vais donner numros
2429,"Le gouvernement veut lutter contre la fraude dans la rénovation énergétique, notamment en renforçant les contrôles et en s'attaquant aux ""démarchages téléphoniques abusifs"".",C2,gouvernement veut lutter contre fraude rnovation nergtique notamment renforant contrles sattaquant dmarchages tlphoniques abusifs
2430,"Plus que faire une visite, le promeneur remontera le temps et découvrira ainsi une partie de l'histoire de la région.",B1,plus faire visite promeneur remontera temps dcouvrira ainsi partie lhistoire rgion
2431,"En travaillant, je bois beaucoup de thé.",B1,travaillant bois beaucoup th
2432,"Philae, qui s'est posé à l'ombre entre des rochers, a d'abord fonctionné avec une pile d'une durée de vie de 60 heures.",B1,philae sest pos lombre entre rochers a dabord fonctionn pile dune dure vie heures
2433,"Dans un premier temps, les locuteurs subissent une très forte pression - politique, sociale ou économique - pour parler la langue dominante.",C1,premier temps locuteurs subissent trs forte pression politique sociale conomique parler langue dominante
2434,"Elle est chanteuse, et elle est malienne.",A1,chanteuse malienne
2435,"À cette époque, les conventions d'appellation modernes ne se sont pas encore développées en Europe.",C1,cette poque conventions dappellation modernes encore dveloppes europe
2436,Rien d'autre.,A1,rien dautre
2437,C'est chouette !,A1,cest chouette
2438,Il sortit vivement le téléphone et jeta un oeil sur l'écran avant de répondre.,B2,sortit vivement tlphone jeta oeil lcran avant rpondre
2439,La balle est partie.,A1,balle partie
2440,"Aujourd'hui, c'est une tarte aux framboises avec de la confiture faite maison",A2,aujourdhui cest tarte framboises confiture faite maison
2441,"Si l'esprit consiste à se saisir, dans sa propre opposition à soi, nulle période n'est mieux marquée par son avènement que celle du subjectivisme absolu.",C2,si lesprit consiste saisir propre opposition soi nulle priode nest mieux marque avnement celle subjectivisme absolu
2442,"A quelle distance, en milles, la cabane se trouve-t-elle de la ville ?",B1,a quelle distance milles cabane trouvetelle ville
2443,"Quand il y a un grand soleil sur la carte, il fera chaud sur la région",B1,quand a grand soleil carte fera chaud rgion
2444,Et si nous allions au cinéma,B1,si allions cinma
2445,"Moi aussi, je veux aller me promener !",A1,aussi veux aller promener
2446,"Abandonnez sans état d'âme le traditionnel cahier de vacances que les trois quarts des enfants ne terminent pas : la liste des produits alternatifs qui visent à ""faire aimer"" autant qu'à ""faire réviser"" est longue.",C1,abandonnez sans tat dme traditionnel cahier vacances trois quarts enfants terminent liste produits alternatifs visent faire aimer autant faire rviser longue
2447,La forêt leur donnait du bois en abondance pour les foyers et les édifices ; les bêtes sauvages qui s'en échappaient venaient se faire prendre dans leurs pièges et les fournissaient de venaison .,B2,fort donnait bois abondance foyers difices btes sauvages sen chappaient venaient faire prendre leurs piges fournissaient venaison
2448,L'écriture semble être devenue la reconversion professionnelle à la mode dans le milieu du grand banditisme.,B2,lcriture semble tre devenue reconversion professionnelle mode milieu grand banditisme
2449,Vous avez une voiture mais vous l'utilisez peu ?,A2,voiture lutilisez peu
2450,"L'effet autocuiseur Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte.",C1,leffet autocuiseur si sept millions citadins rvent refaire vie champs tous passent pourtant lacte
2451,"Il peut également rendre ""addict"". Le smartphone est aujourd'hui omniprésent dans nos vies : 58 % des Français déclarent avoir leur mobile 24h sur 24 h avec eux ; 41 % le consultent même au milieu de la nuit et 7 % vont jusqu'à répondre à leurs messages dans leur lit.",B2,peut galement rendre addict smartphone aujourdhui omniprsent vies franais dclarent avoir mobile h h consultent mme milieu nuit vont jusqu rpondre leurs messages lit
2452,Il est assez calme.,A1,assez calme
2453,"J'ai pris du poisson avec du riz, et mon frère a choisi un simple steak-frites",A2,jai pris poisson riz frre a choisi simple steakfrites
2454,"Et dans cette ville inerte, cette foule criarde si étonnamment passée à côté de son cri comme cette ville à côté de son mouvement, de son sens, sans inquiétude, à côté de son vrai cri, le seul qu'on eût voulu l'entendre crier parce qu'on le sent sien lui seul ; parce qu'on le sent habiter en elle dans quelque refuge profond d'ombre et d'orgueil, dans cette ville inerte, cette foule à côté de son cri de faim, de misère, de révolte, de haine, cette foule si étrangement bavarde et muette.",C2,cette ville inerte cette foule criarde si tonnamment passe ct cri comme cette ville ct mouvement sens sans inquitude ct vrai cri seul quon voulu lentendre crier parce quon sent sien seul parce quon sent habiter quelque refuge profond dombre dorgueil cette ville inerte cette foule ct cri faim misre rvolte haine cette foule si trangement bavarde muette
2455,Nous sommes normalement à un moment de l'année où ce genre de phénomènes est en train de diminuer,A2,normalement moment lanne o genre phnomnes train diminuer
2456,J'ai hâte !,A1,jai hte
2457,Il agite son petit nez rose quand il me voit Ma grand-mère fait des gâteaux tous les jours,A2,agite petit nez rose quand voit grandmre fait gteaux tous jours
2458,"Un néant à l'égard de l'infini, un tout à l'égard du néant, un milieu entre rien et tout, infiniment éloigné de comprendre les extrêmes."" Notre Pascal est celui de l'homme situé entre deux infinis, mélange de folie et de sagesse.",C2,nant lgard linfini tout lgard nant milieu entre rien tout infiniment loign comprendre extrmes pascal celui lhomme situ entre deux infinis mlange folie sagesse
2459,"Dans ma famille, on adore goûter les spécialités locales alors on a tout essayé, de la choucroute à la tarte flambée en passant par les kouglofs",B1,famille adore goter spcialits locales alors a tout essay choucroute tarte flambe passant kouglofs
2460,Je suis nouveau ici.,A1,nouveau ici
2461,"Oui, je me doute.",A1,oui doute
2462,"Florian Kirchner, chargé du programme espèces de l'ONG, rappelle les nombreux enjeux et défis qui attendent notre pays, mais aussi le monde, en matière de conservation et de protection faunistique et floristique.",C1,florian kirchner charg programme espces long rappelle nombreux enjeux dfis attendent pays aussi monde matire conservation protection faunistique floristique
2463,"En Allemagne, par exemple, on n'a pas cours l'après-midi, tandis que nous restons au collège jusqu'à 17 heures.",B1,allemagne exemple na cours laprsmidi tandis restons collge jusqu heures
2464,Comment vas-tu ?,A1,comment vastu
2465,Des enfants en choeur : Des petits pois avec de la salade !,A2,enfants choeur petits pois salade
2466,"Non, dit l'un de ces messieurs, nous vous demandons si vous n'aimez pas tendrement le roi des Bulgares.",B1,non dit lun messieurs demandons si naimez tendrement roi bulgares
